,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-03-16,65.53518141602754,-24.773936230973785,147.77647795408186,65.53518141602754,65.53518141602754,-5.874278874881988,-5.874278874881988,-5.874278874881988,-5.874278874881988,-5.874278874881988,-5.874278874881988,0.0,0.0,0.0,59.66090254114555
1,2020-03-17,67.33070154847869,-20.657551725917052,152.85827524304722,67.33070154847869,67.33070154847869,-2.4140343528583768,-2.4140343528583768,-2.4140343528583768,-2.4140343528583768,-2.4140343528583768,-2.4140343528583768,0.0,0.0,0.0,64.9166671956203
2,2020-03-18,69.12622168092982,-25.407223257693023,148.4955519156462,69.12622168092982,69.12622168092982,-3.5074895391279632,-3.5074895391279632,-3.5074895391279632,-3.5074895391279632,-3.5074895391279632,-3.5074895391279632,0.0,0.0,0.0,65.61873214180186
3,2020-03-19,70.92174181338098,-19.167888345581723,146.33047176955012,70.92174181338098,70.92174181338098,-3.8556350999691285,-3.8556350999691285,-3.8556350999691285,-3.8556350999691285,-3.8556350999691285,-3.8556350999691285,0.0,0.0,0.0,67.06610671341184
4,2020-03-20,72.7172619458321,-20.8889143700977,148.95270602000846,72.7172619458321,72.7172619458321,-7.7613854376385145,-7.7613854376385145,-7.7613854376385145,-7.7613854376385145,-7.7613854376385145,-7.7613854376385145,0.0,0.0,0.0,64.9558765081936
5,2020-03-23,78.10382234318554,-12.915287821292441,153.11559122598672,78.10382234318554,78.10382234318554,-5.874278874875033,-5.874278874875033,-5.874278874875033,-5.874278874875033,-5.874278874875033,-5.874278874875033,0.0,0.0,0.0,72.22954346831051
6,2020-03-24,79.89934247563669,-7.663580881303004,166.22826979847625,79.89934247563669,79.89934247563669,-2.414034352838554,-2.414034352838554,-2.414034352838554,-2.414034352838554,-2.414034352838554,-2.414034352838554,0.0,0.0,0.0,77.48530812279813
7,2020-03-25,81.69486260808783,-8.651467062270616,166.9085038361315,81.69486260808783,81.69486260808783,-3.507489539123076,-3.507489539123076,-3.507489539123076,-3.507489539123076,-3.507489539123076,-3.507489539123076,0.0,0.0,0.0,78.18737306896476
8,2020-03-26,83.49038274053899,-10.151966729750132,171.25267346315198,83.49038274053899,83.49038274053899,-3.8556350999856424,-3.8556350999856424,-3.8556350999856424,-3.8556350999856424,-3.8556350999856424,-3.8556350999856424,0.0,0.0,0.0,79.63474764055334
9,2020-03-27,85.28590281266618,0.1877512181770638,162.44250562925075,85.28590281266617,85.28590281266617,-7.7613854376254166,-7.7613854376254166,-7.7613854376254166,-7.7613854376254166,-7.7613854376254166,-7.7613854376254166,0.0,0.0,0.0,77.52451737504076
10,2020-03-30,90.67246302904779,-2.41009168229786,171.0420924082886,90.67246302904779,90.67246302904779,-5.874278874907891,-5.874278874907891,-5.874278874907891,-5.874278874907891,-5.874278874907891,-5.874278874907891,0.0,0.0,0.0,84.7981841541399
11,2020-03-31,92.46798310117501,0.543234878934062,179.9475948047302,92.46798310117501,92.46798310117501,-2.4140343528706363,-2.4140343528706363,-2.4140343528706363,-2.4140343528706363,-2.4140343528706363,-2.4140343528706363,0.0,0.0,0.0,90.05394874830438
12,2020-04-01,94.26350317330221,1.1746764658827196,178.71534549948854,94.26350317330221,94.26350317330221,-3.5074895391242604,-3.5074895391242604,-3.5074895391242604,-3.5074895391242604,-3.5074895391242604,-3.5074895391242604,0.0,0.0,0.0,90.75601363417795
13,2020-04-02,96.05902324542942,3.9835582317979457,183.78566132804212,96.05902324542942,96.05902324542942,-3.8556350999844673,-3.8556350999844673,-3.8556350999844673,-3.8556350999844673,-3.8556350999844673,-3.8556350999844673,0.0,0.0,0.0,92.20338814544495
14,2020-04-03,97.85454331755663,-0.32406166542914894,177.01460921628362,97.85454331755663,97.85454331755663,-7.761385437630022,-7.761385437630022,-7.761385437630022,-7.761385437630022,-7.761385437630022,-7.761385437630022,0.0,0.0,0.0,90.09315787992661
15,2020-04-06,103.24110353393824,14.32747824880155,184.55089549785123,103.24110353393826,103.24110353393826,-5.874278874900935,-5.874278874900935,-5.874278874900935,-5.874278874900935,-5.874278874900935,-5.874278874900935,0.0,0.0,0.0,97.3668246590373
16,2020-04-07,105.03662360606545,20.86682583052272,186.2618117601083,105.03662360606545,105.03662360606545,-2.414034352862842,-2.414034352862842,-2.414034352862842,-2.414034352862842,-2.414034352862842,-2.414034352862842,0.0,0.0,0.0,102.6225892532026
17,2020-04-08,106.83214395695612,11.688256370865709,187.7367053695036,106.83214395695612,106.83214395695612,-3.507489539125444,-3.507489539125444,-3.507489539125444,-3.507489539125444,-3.507489539125444,-3.507489539125444,0.0,0.0,0.0,103.32465441783067
18,2020-04-09,108.62766430784679,16.131203517979376,192.54481050568336,108.62766430784679,108.62766430784679,-3.8556350999921376,-3.8556350999921376,-3.8556350999921376,-3.8556350999921376,-3.8556350999921376,-3.8556350999921376,0.0,0.0,0.0,104.77202920785464
19,2020-04-13,115.80974571140946,21.122418562791506,196.24349204433935,115.80974571140946,115.80974571140946,-5.87427887489398,-5.87427887489398,-5.87427887489398,-5.87427887489398,-5.87427887489398,-5.87427887489398,0.0,0.0,0.0,109.93546683651549
20,2020-04-14,117.60526606230012,27.623788199755175,206.3557448402495,117.60526606230012,117.60526606230012,-2.414034352855047,-2.414034352855047,-2.414034352855047,-2.414034352855047,-2.414034352855047,-2.414034352855047,0.0,0.0,0.0,115.19123170944508
21,2020-04-15,119.40078641319079,26.348020248114832,203.02588115487163,119.40078641319079,119.40078641319079,-3.507489539126628,-3.507489539126628,-3.507489539126628,-3.507489539126628,-3.507489539126628,-3.507489539126628,0.0,0.0,0.0,115.89329687406416
22,2020-04-16,121.19630676408144,35.01577836617132,206.86985406009208,121.19630676408144,121.19630676408144,-3.855635099968655,-3.855635099968655,-3.855635099968655,-3.855635099968655,-3.855635099968655,-3.855635099968655,0.0,0.0,0.0,117.34067166411279
23,2020-04-17,122.99182711497214,27.609777302575765,206.9773529977844,122.99182711497214,122.99182711497214,-7.761385437603826,-7.761385437603826,-7.761385437603826,-7.761385437603826,-7.761385437603826,-7.761385437603826,0.0,0.0,0.0,115.23044167736832
24,2020-04-20,128.37838816764415,32.91235624859482,208.72033881200983,128.37838816764415,128.37838816764415,-5.874278874906934,-5.874278874906934,-5.874278874906934,-5.874278874906934,-5.874278874906934,-5.874278874906934,0.0,0.0,0.0,122.50410929273721
25,2020-04-21,130.17390852180196,45.094638394196934,207.75671557814465,130.17390852180196,130.17390852180196,-2.414034352875101,-2.414034352875101,-2.414034352875101,-2.414034352875101,-2.414034352875101,-2.414034352875101,0.0,0.0,0.0,127.75987416892686
26,2020-04-22,131.96942887595978,36.746375980469594,213.78278658626687,131.96942887595978,131.96942887595978,-3.5074895391260443,-3.5074895391260443,-3.5074895391260443,-3.5074895391260443,-3.5074895391260443,-3.5074895391260443,0.0,0.0,0.0,128.46193933683372
27,2020-04-23,133.7649492301176,43.000822384512176,213.63380389305678,133.7649492301176,133.7649492301176,-3.8556350999763245,-3.8556350999763245,-3.8556350999763245,-3.8556350999763245,-3.8556350999763245,-3.8556350999763245,0.0,0.0,0.0,129.90931413014127
28,2020-04-24,135.5604695842754,39.45317555431502,210.9896029818944,135.5604695842754,135.5604695842754,-7.7613854376084275,-7.7613854376084275,-7.7613854376084275,-7.7613854376084275,-7.7613854376084275,-7.7613854376084275,0.0,0.0,0.0,127.79908414666698
29,2020-04-27,140.94703064674889,51.312503818777415,222.4017758802556,140.94703064674889,140.94703064674889,-5.87427887487351,-5.87427887487351,-5.87427887487351,-5.87427887487351,-5.87427887487351,-5.87427887487351,0.0,0.0,0.0,135.07275177187537
30,2020-04-28,142.7425510009067,48.297176446912644,221.09793310093156,142.7425510009067,142.7425510009067,-2.4140343528793347,-2.4140343528793347,-2.4140343528793347,-2.4140343528793347,-2.4140343528793347,-2.4140343528793347,0.0,0.0,0.0,140.32851664802737
31,2020-04-29,144.53807135506452,53.824330319659026,226.49231716404526,144.53807135506452,144.53807135506452,-3.507489539128995,-3.507489539128995,-3.507489539128995,-3.507489539128995,-3.507489539128995,-3.507489539128995,0.0,0.0,0.0,141.03058181593553
32,2020-04-30,146.33359170922233,49.85905767215134,221.59383390087632,146.33359170922233,146.33359170922233,-3.855635099975151,-3.855635099975151,-3.855635099975151,-3.855635099975151,-3.855635099975151,-3.855635099975151,0.0,0.0,0.0,142.47795660924717
33,2020-05-01,148.12911205538438,58.544594808541966,221.74814870187797,148.12911205538438,148.12911205538438,-7.76138543762757,-7.76138543762757,-7.76138543762757,-7.76138543762757,-7.76138543762757,-7.76138543762757,0.0,0.0,0.0,140.3677266177568
34,2020-05-04,153.51567309387048,61.6677418452594,230.99431068045703,153.51567309387048,153.51567309387048,-5.874278874886463,-5.874278874886463,-5.874278874886463,-5.874278874886463,-5.874278874886463,-5.874278874886463,0.0,0.0,0.0,147.641394218984
35,2020-05-05,155.31119344003253,67.67975013133189,241.62510301374982,155.31119344003253,155.31119344003253,-2.4140343528595114,-2.4140343528595114,-2.4140343528595114,-2.4140343528595114,-2.4140343528595114,-2.4140343528595114,0.0,0.0,0.0,152.897159087173
36,2020-05-06,157.10671378619458,63.66517193658307,241.8741377638016,157.10671378619458,157.10671378619458,-3.5074895391284113,-3.5074895391284113,-3.5074895391284113,-3.5074895391284113,-3.5074895391284113,-3.5074895391284113,0.0,0.0,0.0,153.59922424706616
37,2020-05-07,158.9022341323566,71.07883300406147,240.54103713928896,158.9022341323566,158.9022341323566,-3.8556350999828197,-3.8556350999828197,-3.8556350999828197,-3.8556350999828197,-3.8556350999828197,-3.8556350999828197,0.0,0.0,0.0,155.04659903237376
38,2020-05-08,160.69775447851865,68.59753154780176,236.49480275188728,160.69775447851868,160.69775447851868,-7.761385437632176,-7.761385437632176,-7.761385437632176,-7.761385437632176,-7.761385437632176,-7.761385437632176,0.0,0.0,0.0,152.93636904088646
39,2020-05-11,166.0843155170047,78.61414071998875,243.35374073845304,166.0843155170047,166.0843155170047,-5.874278874879509,-5.874278874879509,-5.874278874879509,-5.874278874879509,-5.874278874879509,-5.874278874879509,0.0,0.0,0.0,160.2100366421252
40,2020-05-12,167.87983586316676,79.61760304863995,246.03286203036558,167.87983586316676,167.87983586316676,-2.4140343528637445,-2.4140343528637445,-2.4140343528637445,-2.4140343528637445,-2.4140343528637445,-2.4140343528637445,0.0,0.0,0.0,165.465801510303
41,2020-05-13,169.6753573866598,78.93532187892858,255.29217049067165,169.6753573866598,169.6753573866598,-3.5074895391252907,-3.5074895391252907,-3.5074895391252907,-3.5074895391252907,-3.5074895391252907,-3.5074895391252907,0.0,0.0,0.0,166.16786784753452
42,2020-05-14,171.4708789101528,88.60594307616927,252.58428818565366,171.4708789101528,171.4708789101528,-3.855635099990489,-3.855635099990489,-3.855635099990489,-3.855635099990489,-3.855635099990489,-3.855635099990489,0.0,0.0,0.0,167.61524381016233
43,2020-05-15,173.26640043364586,83.06173759568934,254.6030682825483,173.26640043364586,173.26640043364586,-7.761385437619079,-7.761385437619079,-7.761385437619079,-7.761385437619079,-7.761385437619079,-7.761385437619079,0.0,0.0,0.0,165.50501499602677
